symbol,name,close_price,volume,vol_vs_avg,change_in_percent,days_old
BK,Bank of New York Mellon Corporation (The),51.75,2991068,0.65,1.02,405
ATKR,Atkore International Group Inc.,22.79,266177,0.65,0.66,275
ONB,Old National Bancorp,17.5,571602,0.65,1.16,413
PAG,"Penske Automotive Group, Inc.",44.13,293578,0.64,1.87,412
UPS,"United Parcel Service, Inc.",110.36,1649014,0.64,1.03,407
REXR,"Rexford Industrial Realty, Inc.",27.46,344788,0.64,1.97,410
EXPD,"Expeditors International of Washington, Inc.",56.93,792811,0.63,1.33,400
SNV,Synovus Financial Corp.,45.0,458230,0.63,0.72,408
BLK,"BlackRock, Inc.",432.38,374804,0.63,1.69,405
BPL,Buckeye Partners L.P.,64.56,344766,0.62,0.78,405
EDU,"New Oriental Education & Technology Group, In",72.12,848165,0.62,1.58,401
OI,"Owens-Illinois, Inc.",24.04,719926,0.62,1.65,413
MON,Monsanto Company,118.0,1082168,0.62,0.33,413
HSC,Harsco Corporation,16.35,366699,0.62,2.51,416
STE,STERIS Corporation,82.1,367789,0.61,1.57,408
LOPE,"Grand Canyon Education, Inc.",78.37,170853,0.61,1.95,413
PSTB,Park Sterling Corporation,11.98,223943,0.61,1.1,411
HBI,Hanesbrands Inc.,22.93,2710998,0.61,1.78,417
WFC,Wells Fargo & Company,55.74,10827449,0.61,0.32,404
NVRO,Nevro Corp.,82.63,521346,0.6,3.04,413
URI,"United Rentals, Inc.",112.55,1013930,0.6,0.18,407
AMP,"Ameriprise Financial, Inc.",131.31,614974,0.59,1.67,406
AB,Allianceberstein Holding L.P.  Units,24.0,308091,0.59,1.91,407
WHR,Whirlpool Corporation,192.11,416919,0.58,1.27,404
WAB,Westinghouse Air Brake Technologies Corporati,91.0,388700,0.58,0.45,404
TWI,"Titan International, Inc.",12.19,203494,0.58,2.18,408
BPOP,"Popular, Inc.",41.95,267976,0.58,0.31,405
HBHC,Hancock Holding Company,49.85,345173,0.58,0.81,417
SON,Sonoco Products Company,51.57,250067,0.57,0.53,408
GBCI,"Glacier Bancorp, Inc.",36.8,184489,0.57,0.95,418
BCE,"BCE, Inc.",45.09,546426,0.57,0.22,405
DOX,Amdocs Limited,64.53,343068,0.57,0.95,401
MHLD,"Maiden Holdings, Ltd.",11.2,334565,0.56,0.45,413
IPXL,"Impax Laboratories, Inc.",16.9,985411,0.56,5.3,415
KRG,Kite Realty Group Trust,18.75,493280,0.55,2.46,414
CVI,CVR Energy Inc.,21.63,332719,0.55,2.37,402
APD,"Air Products and Chemicals, Inc.",144.01,681397,0.55,1.32,406
UMPQ,Umpqua Holdings Corporation,18.63,832538,0.55,0.49,407
ORBC,ORBCOMM Inc.,11.33,268794,0.55,1.34,412
FHB,"First Hawaiian, Inc.",30.79,240619,0.55,0.88,237
